项目,2021年第一季度,2021年上半年,2021年前三季度,2021年
一、税收收入合计,56288822,111843681,156908965,187036868
国内增值税,17244591,30998220,42906733,51470241
国内消费税,4501040,6597278,8687072,8859835
海关代征进口环节增值税和消费税,8913869,17824890,26728836,33853350
企业所得税,10364725,28347862,37768940,42974004
个人所得税,6105918,11283316,16367184,21802796
城镇土地使用税,35568,86931,137861,186403
城市维护建设税,974688,1726008,2449311,3078211
证券交易印花税,4695706,6864068,10729427,11322796
其他印花税,339572,630355,932454,1227269
土地增值税,1098854,3303619,4161671,4641552
房产税,422210,1058289,1602954,2219808
车船税,54984,108301,160871,202573
车辆购置税,294538,579941,824599,1025995
资源税,4278,9592,14465,20009
契税,1226056,2398780,3401074,4104471
耕地占用税,8809,16473,21151,28934
环境保护税,4413,9212,14482,18514
其他税收,-997,546,-120,107
二、出口退税,-2405232,-5899749,-8210718,-10603507
