项目,2018年第一季度,2018年上半年,2018年前三季度,2018年
一、税收收入合计,53098966,107082873,146057915,172023298
国内增值税,18341218,33222085,44290364,52488139
国内消费税,2884051,5512208,8199081,8326972
海关代征进口环节增值税和消费税,8704749,17129063,26659780,33785610
营业税,7757,13398,16853,23156
企业所得税,10626135,28103094,35272955,39112495
个人所得税,6174940,11130476,15556304,19255184
城镇土地使用税,55225,263369,269787,439864
城市维护建设税,1002379,1714114,2355208,2797669
证券交易印花税,2315602,3239680,4301286,4302243
其他印花税,307411,532013,760429,975474
土地增值税,1211337,2800214,3804295,4218437
房产税,355928,1311099,1353560,2138382
车船税,61515,128615,192607,256893
车辆购置税,250278,504079,756971,963584
资源税,2775,7162,10450,14461
契税,779714,1437110,2200228,2849511
耕地占用税,17952,28806,45350,57138
环境保护税,0,6280,12399,18078
其他税收,,8,8,8
二、出口退税,-3950227,-8506654,-12203827,-14449151
