项目,2019年第一季度,2019年上半年,2019年前三季度,2019年
一、税收收入合计,55437365,104390511,139035837,167612226
国内增值税,21018803,36855750,47185951,55358900
国内消费税,4125244,6147388,8150646,8416063
海关代征进口环节增值税和消费税,8375319,15722196,23167922,30632368
企业所得税,11532702,25392839,32182739,37450113
个人所得税,4234997,7898490,11383382,15093338
城镇土地使用税,35299,139957,141007,228855
城市维护建设税,1065370,1713047,2338805,2908935
证券交易印花税,2144730,3799405,5109256,5676364
其他印花税,288223,516743,762202,1007239
土地增值税,1165860,2485051,3615727,4127565
房产税,344966,1349498,1374796,2168347
车船税,64300,116764,167668,222589
车辆购置税,232220,504029,736006,934534
资源税,3696,7819,11392,15412
契税,750810,1653969,2502258,3151752
耕地占用税,15152,29680,127953,132903
环境保护税,5168,11578,17187,22501
其他税收,34506,46308,60940,64448
二、出口退税,-6938100,-13848994,-15908882,-17799421
