,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,出口退税
,国内增值税,国内消费税,海关代征进口环节增值税和消费税,营业税,企业所得税（内资）,企业所得税,个人所得税,城镇土地使用税,投资方向调节税,城市维护建设费,证券交易印花税,其他印花税,土地增值税,房产税,车船税,车辆购置税,出口退税
2005,90648820000.0,12696210000.0,85929780000.0,51290630000.0,46794780000.0,16496180000.0,27981040000.0,208640000.0,19270000.0,4979140000.0,4111620000.0,2481250000.0,2462770000.0,3410430000.0,141600000.0,2692000000.0,-39295060000.0
