,新增死亡,新增死亡,新增死亡,新增死亡,新增死亡,新增死亡,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例,新增病例
,全国合计,上海,北京,四川,河南,重庆,全国合计,广东,重庆,北京,山西,四川,新疆,云南,广西,黑龙江,吉林,陕西,天津,湖北,山东,青海,辽宁,江苏,甘肃,河北,宁夏,河南,内蒙古,湖南,安徽,浙江,上海,福建,贵州,海南,江西,西藏,兵团
2022-09-07,0.0,,,,,,1314,36.0,,10.0,,159.0,28.0,6.0,70.0,110.0,6.0,5.0,3.0,12.0,90.0,56.0,74.0,1.0,5.0,,,12.0,128.0,,,0.0,13.0,3.0,20.0,5.0,59.0,403.0,
2022-09-08,0.0,,,,,,1251,61.0,0.0,19.0,,126.0,27.0,5.0,99.0,115.0,2.0,14.0,5.0,12.0,96.0,21.0,79.0,4.0,3.0,,,8.0,104.0,,,,2.0,3.0,18.0,6.0,57.0,365.0,
2022-09-09,0.0,,,,,,1184,31.0,2.0,14.0,,143.0,27.0,2.0,93.0,112.0,6.0,19.0,7.0,40.0,83.0,20.0,56.0,3.0,15.0,2.0,,6.0,61.0,1.0,,,5.0,2.0,48.0,5.0,59.0,322.0,
2022-09-10,0.0,,,,,,1121,25.0,2.0,10.0,,176.0,26.0,3.0,63.0,87.0,4.0,24.0,6.0,45.0,64.0,13.0,38.0,1.0,12.0,,,1.0,49.0,,,1.0,8.0,,124.0,3.0,69.0,267.0,
2022-09-11,0.0,,,,,,913,25.0,2.0,14.0,,121.0,24.0,1.0,29.0,69.0,1.0,31.0,4.0,38.0,37.0,6.0,28.0,1.0,17.0,5.0,,4.0,28.0,1.0,,,3.0,,137.0,1.0,60.0,226.0,
2022-09-12,0.0,,,,,,876,11.0,1.0,15.0,,181.0,23.0,5.0,41.0,21.0,,13.0,2.0,32.0,41.0,2.0,25.0,0.0,24.0,3.0,,,26.0,0.0,,,,2.0,145.0,2.0,53.0,208.0,
2022-09-13,0.0,,,,,,900,9.0,0.0,17.0,,156.0,25.0,,58.0,45.0,,14.0,4.0,18.0,45.0,4.0,10.0,,13.0,16.0,,,18.0,5.0,,,1.0,,248.0,,57.0,137.0,
2022-09-14,0.0,,,,,,913,9.0,2.0,1.0,,216.0,25.0,2.0,60.0,22.0,,9.0,11.0,30.0,12.0,,8.0,2.0,15.0,2.0,,5.0,12.0,,,1.0,,,307.0,,53.0,109.0,
2022-09-15,0.0,,,,,,828,6.0,4.0,2.0,,157.0,23.0,5.0,55.0,8.0,,4.0,36.0,30.0,21.0,1.0,1.0,1.0,23.0,5.0,,2.0,7.0,2.0,1.0,,3.0,3.0,270.0,1.0,39.0,118.0,
2022-09-16,0.0,,,,,,564,4.0,4.0,,,106.0,23.0,4.0,49.0,3.0,,8.0,45.0,25.0,32.0,1.0,,,14.0,2.0,,,12.0,,,1.0,1.0,,154.0,2.0,9.0,65.0,
2022-09-17,0.0,,,,,,1022,2.0,2.0,,,107.0,24.0,6.0,29.0,4.0,,2.0,28.0,12.0,14.0,2.0,,,9.0,,,2.0,8.0,1.0,,,,3.0,706.0,11.0,5.0,45.0,
2022-09-18,0.0,,,,,,773,3.0,1.0,,,68.0,19.0,4.0,31.0,12.0,,3.0,26.0,1.0,5.0,2.0,,,3.0,5.0,,7.0,3.0,,,1.0,3.0,,362.0,12.0,4.0,198.0,
2022-09-19,0.0,,,,,,594,1.0,1.0,,,61.0,12.0,4.0,7.0,45.0,,,18.0,11.0,1.0,4.0,,,2.0,3.0,,7.0,,1.0,,1.0,1.0,,231.0,5.0,2.0,176.0,
2022-09-20,0.0,,,,,,590,5.0,,,,49.0,11.0,6.0,10.0,110.0,,1.0,11.0,9.0,3.0,5.0,,,5.0,1.0,4.0,8.0,,,,2.0,,,179.0,2.0,1.0,168.0,
2022-09-21,0.0,,,,,,603,2.0,5.0,,,49.0,9.0,3.0,15.0,116.0,,,11.0,19.0,4.0,5.0,,2.0,3.0,2.0,19.0,9.0,,,,0.0,,1.0,173.0,,,156.0,
2022-09-22,0.0,,,,,,727,6.0,1.0,2.0,,60.0,8.0,5.0,8.0,230.0,,2.0,11.0,16.0,12.0,1.0,,1.0,1.0,7.0,59.0,2.0,2.0,6.0,1.0,,1.0,,145.0,,,140.0,
2022-09-23,0.0,,,,,,729,2.0,,,,93.0,9.0,14.0,5.0,224.0,,1.0,6.0,1.0,7.0,,,3.0,3.0,4.0,121.0,7.0,,2.0,1.0,5.0,,,98.0,1.0,,122.0,
2022-09-24,0.0,,,,,,741,4.0,2.0,,,55.0,9.0,1.0,2.0,173.0,,4.0,12.0,,3.0,,,2.0,2.0,5.0,172.0,2.0,,,3.0,2.0,,,176.0,,1.0,111.0,
2022-09-25,0.0,,,,,,731,12.0,2.0,,,39.0,8.0,6.0,1.0,157.0,,4.0,19.0,2.0,3.0,17.0,,5.0,,1.0,186.0,2.0,2.0,,1.0,1.0,,,161.0,1.0,3.0,98.0,
2022-09-26,0.0,,,,,,777,17.0,1.0,,,56.0,7.0,29.0,8.0,136.0,,2.0,42.0,,4.0,6.0,,2.0,3.0,3.0,234.0,2.0,,,1.0,1.0,,,124.0,,5.0,94.0,
2022-09-27,0.0,,,,,,734,5.0,1.0,,,29.0,10.0,12.0,6.0,87.0,,9.0,55.0,12.0,4.0,6.0,,4.0,1.0,,209.0,5.0,1.0,,1.0,1.0,,,127.0,,4.0,145.0,
2022-09-28,0.0,,,,,,618,20.0,,,5.0,16.0,10.0,26.0,8.0,82.0,,5.0,39.0,6.0,4.0,,,5.0,1.0,1.0,191.0,4.0,1.0,,5.0,2.0,1.0,,92.0,,4.0,90.0,
2022-09-29,0.0,,,,,,712,31.0,1.0,1.0,2.0,23.0,28.0,31.0,9.0,66.0,,17.0,72.0,4.0,9.0,4.0,,4.0,7.0,11.0,176.0,20.0,1.0,3.0,7.0,7.0,6.0,3.0,96.0,,1.0,72.0,
2022-09-30,0.0,,,,,,637,38.0,3.0,2.0,13.0,47.0,30.0,21.0,13.0,32.0,,5.0,27.0,,22.0,1.0,,1.0,4.0,3.0,168.0,17.0,24.0,4.0,2.0,6.0,3.0,1.0,85.0,,1.0,64.0,
2022-10-01,0.0,,,,,,531,27.0,1.0,1.0,12.0,44.0,30.0,14.0,10.0,15.0,,7.0,29.0,6.0,14.0,,1.0,1.0,4.0,9.0,161.0,11.0,32.0,3.0,5.0,4.0,5.0,2.0,27.0,,2.0,54.0,
2022-10-02,0.0,,,,,,642,43.0,4.0,3.0,10.0,78.0,33.0,33.0,13.0,9.0,,12.0,21.0,4.0,11.0,,1.0,5.0,4.0,1.0,131.0,14.0,100.0,12.0,4.0,7.0,4.0,4.0,32.0,,,49.0,
2022-10-03,0.0,,,,,,853,42.0,6.0,1.0,17.0,38.0,38.0,40.0,5.0,5.0,,15.0,19.0,9.0,6.0,,1.0,15.0,14.0,7.0,67.0,14.0,370.0,7.0,6.0,21.0,3.0,2.0,30.0,2.0,,53.0,
2022-10-04,0.0,,,,,,909,52.0,24.0,3.0,13.0,53.0,91.0,71.0,4.0,5.0,1.0,21.0,59.0,18.0,7.0,,1.0,40.0,13.0,12.0,36.0,14.0,273.0,14.0,5.0,14.0,6.0,,17.0,,,42.0,
2022-10-05,0.0,,,,,,1138,56.0,36.0,3.0,12.0,64.0,97.0,35.0,9.0,11.0,7.0,33.0,60.0,46.0,9.0,,6.0,22.0,10.0,2.0,35.0,25.0,457.0,8.0,7.0,19.0,11.0,1.0,12.0,2.0,3.0,40.0,
2022-10-06,0.0,,,,,,1435,68.0,49.0,3.0,29.0,77.0,96.0,44.0,13.0,13.0,7.0,50.0,15.0,56.0,10.0,1.0,2.0,24.0,15.0,16.0,32.0,22.0,668.0,26.0,7.0,15.0,18.0,1.0,14.0,9.0,,35.0,
2022-10-07,0.0,,,,,,1581,66.0,36.0,3.0,55.0,76.0,348.0,38.0,13.0,6.0,9.0,43.0,8.0,108.0,12.0,,5.0,26.0,52.0,14.0,37.0,24.0,505.0,11.0,9.0,7.0,23.0,3.0,8.0,3.0,2.0,31.0,
2022-10-08,0.0,,,,,,1645,48.0,19.0,8.0,35.0,62.0,436.0,47.0,3.0,7.0,7.0,49.0,4.0,31.0,8.0,,23.0,17.0,61.0,12.0,35.0,37.0,560.0,20.0,23.0,10.0,21.0,4.0,17.0,8.0,,33.0,
2022-10-09,0.0,,,,,,1878,51.0,25.0,14.0,38.0,85.0,441.0,75.0,4.0,2.0,5.0,26.0,,48.0,13.0,,30.0,19.0,68.0,20.0,52.0,54.0,652.0,22.0,41.0,9.0,34.0,7.0,8.0,3.0,4.0,28.0,
2022-10-10,0.0,,,,,,1989,53.0,45.0,14.0,37.0,188.0,453.0,47.0,5.0,6.0,14.0,24.0,7.0,29.0,18.0,,25.0,25.0,55.0,18.0,48.0,32.0,735.0,18.0,21.0,8.0,28.0,4.0,7.0,,,25.0,
2022-10-11,0.0,,,,,,1709,51.0,42.0,11.0,134.0,43.0,436.0,52.0,1.0,19.0,10.0,35.0,4.0,9.0,18.0,,42.0,25.0,40.0,16.0,45.0,58.0,498.0,21.0,26.0,6.0,38.0,1.0,2.0,2.0,,24.0,
2022-10-12,0.0,,,,,,1406,47.0,28.0,18.0,91.0,46.0,401.0,57.0,2.0,11.0,8.0,25.0,1.0,15.0,25.0,,48.0,27.0,25.0,18.0,55.0,35.0,316.0,9.0,23.0,3.0,47.0,3.0,2.0,1.0,,19.0,
2022-10-13,0.0,,,,,,1218,61.0,22.0,21.0,64.0,36.0,329.0,58.0,,62.0,32.0,25.0,7.0,22.0,28.0,,33.0,32.0,7.0,4.0,26.0,15.0,224.0,7.0,42.0,3.0,49.0,,,,1.0,8.0,
2022-10-14,0.0,,,,,,1142,86.0,29.0,9.0,39.0,58.0,371.0,34.0,1.0,65.0,21.0,31.0,7.0,38.0,13.0,,23.0,29.0,3.0,7.0,18.0,17.0,144.0,7.0,22.0,9.0,42.0,2.0,7.0,,,10.0,
2022-10-15,0.0,,,,,,827,59.0,11.0,19.0,44.0,40.0,293.0,31.0,3.0,10.0,9.0,37.0,9.0,29.0,6.0,,10.0,27.0,5.0,3.0,9.0,24.0,56.0,10.0,20.0,17.0,28.0,,9.0,1.0,1.0,7.0,
2022-10-16,0.0,,,,,,697,61.0,14.0,13.0,56.0,34.0,188.0,35.0,2.0,8.0,1.0,32.0,16.0,23.0,8.0,,8.0,29.0,2.0,12.0,7.0,14.0,39.0,16.0,10.0,21.0,32.0,,8.0,,,8.0,
2022-10-17,0.0,,,,,,775,97.0,10.0,15.0,72.0,44.0,141.0,33.0,11.0,8.0,3.0,36.0,8.0,37.0,10.0,,6.0,28.0,11.0,13.0,5.0,13.0,46.0,59.0,6.0,34.0,15.0,,6.0,,,8.0,
2022-10-18,0.0,,,,,,820,97.0,25.0,41.0,45.0,33.0,122.0,32.0,20.0,3.0,1.0,59.0,9.0,39.0,12.0,,3.0,23.0,2.0,8.0,7.0,31.0,72.0,48.0,3.0,48.0,15.0,3.0,8.0,,3.0,8.0,
2022-10-19,0.0,,,,,,787,84.0,23.0,15.0,13.0,42.0,127.0,47.0,19.0,,,71.0,30.0,30.0,15.0,1.0,4.0,24.0,15.0,18.0,6.0,24.0,79.0,45.0,5.0,27.0,10.0,1.0,4.0,,5.0,3.0,
2022-10-20,0.0,,,,,,783,89.0,7.0,13.0,17.0,23.0,120.0,40.0,25.0,6.0,,68.0,59.0,40.0,18.0,4.0,,16.0,16.0,11.0,6.0,21.0,88.0,38.0,9.0,24.0,13.0,1.0,5.0,,2.0,4.0,
2022-10-21,0.0,,,,,,795,93.0,7.0,17.0,27.0,25.0,133.0,40.0,21.0,9.0,,50.0,56.0,37.0,19.0,11.0,,19.0,8.0,10.0,5.0,20.0,97.0,46.0,8.0,14.0,16.0,0.0,1.0,,,6.0,
2022-10-22,0.0,,,,,,823,89.0,2.0,8.0,39.0,28.0,131.0,25.0,18.0,12.0,,67.0,54.0,39.0,25.0,19.0,,14.0,5.0,5.0,5.0,23.0,103.0,67.0,9.0,18.0,12.0,,1.0,,,5.0,
2022-10-23,0.0,,,,,,919,93.0,9.0,9.0,67.0,30.0,135.0,34.0,10.0,15.0,2.0,80.0,41.0,29.0,37.0,20.0,2.0,19.0,8.0,5.0,5.0,23.0,98.0,76.0,23.0,7.0,12.0,23.0,2.0,,,5.0,
2022-10-24,0.0,,,,,,1068,93.0,13.0,18.0,144.0,59.0,133.0,33.0,7.0,4.0,,84.0,39.0,27.0,34.0,32.0,,15.0,12.0,5.0,4.0,25.0,98.0,88.0,15.0,2.0,19.0,57.0,1.0,,1.0,6.0,
2022-10-25,0.0,,,,,,1230,112.0,19.0,19.0,217.0,41.0,137.0,30.0,7.0,6.0,,55.0,20.0,32.0,58.0,88.0,2.0,22.0,14.0,7.0,4.0,24.0,112.0,69.0,11.0,4.0,19.0,92.0,,,1.0,8.0,
2022-10-26,0.0,,,,,,1095,98.0,35.0,17.0,44.0,34.0,125.0,10.0,8.0,10.0,,46.0,7.0,53.0,77.0,124.0,,29.0,24.0,7.0,4.0,25.0,122.0,70.0,12.0,3.0,9.0,92.0,,,2.0,8.0,
2022-10-27,0.0,,,,,,1321,115.0,29.0,7.0,107.0,40.0,122.0,30.0,7.0,35.0,,43.0,7.0,57.0,93.0,108.0,3.0,34.0,14.0,21.0,3.0,20.0,146.0,75.0,9.0,4.0,11.0,174.0,,,1.0,6.0,
2022-10-28,0.0,,,,,,1450,199.0,38.0,20.0,104.0,40.0,155.0,33.0,6.0,57.0,,59.0,20.0,70.0,94.0,86.0,5.0,32.0,38.0,38.0,2.0,27.0,131.0,70.0,11.0,2.0,9.0,98.0,1.0,,2.0,3.0,
2022-10-29,0.0,,,,,,1873,278.0,21.0,14.0,106.0,66.0,277.0,56.0,3.0,147.0,,55.0,24.0,96.0,87.0,93.0,7.0,33.0,48.0,34.0,6.0,33.0,121.0,61.0,6.0,3.0,9.0,186.0,,,1.0,2.0,
2022-10-30,0.0,,,,,,2675,757.0,29.0,22.0,184.0,86.0,388.0,73.0,3.0,185.0,1.0,60.0,33.0,82.0,105.0,89.0,7.0,32.0,33.0,61.0,6.0,42.0,131.0,66.0,6.0,3.0,10.0,176.0,,,1.0,4.0,
2022-10-31,0.0,,,,,,2626,697.0,10.0,22.0,139.0,48.0,403.0,101.0,7.0,189.0,,51.0,26.0,76.0,103.0,128.0,17.0,23.0,31.0,60.0,5.0,104.0,165.0,61.0,5.0,,4.0,137.0,3.0,,1.0,10.0,
2022-11-01,0.0,,,,,,2686,404.0,9.0,28.0,136.0,36.0,430.0,30.0,5.0,197.0,1.0,35.0,17.0,65.0,97.0,91.0,27.0,19.0,58.0,68.0,2.0,359.0,320.0,145.0,5.0,4.0,1.0,92.0,,,,5.0,
2022-11-02,0.0,,,,,,3113,425.0,15.0,26.0,82.0,43.0,401.0,54.0,1.0,197.0,11.0,48.0,11.0,77.0,101.0,111.0,23.0,22.0,59.0,46.0,8.0,176.0,932.0,130.0,6.0,,3.0,99.0,1.0,,,5.0,
2022-11-03,0.0,,,,,,3800,657.0,77.0,37.0,202.0,48.0,433.0,38.0,3.0,341.0,8.0,29.0,6.0,75.0,109.0,116.0,25.0,14.0,73.0,55.0,5.0,187.0,763.0,402.0,6.0,5.0,7.0,71.0,3.0,,,5.0,
2022-11-04,0.0,,,,,,3526,829.0,78.0,39.0,215.0,31.0,471.0,67.0,,216.0,6.0,25.0,9.0,61.0,80.0,118.0,23.0,14.0,65.0,28.0,3.0,140.0,558.0,372.0,,6.0,5.0,60.0,2.0,,,5.0,
2022-11-05,0.0,,,,,,4279,1463.0,99.0,47.0,125.0,30.0,539.0,49.0,,301.0,6.0,19.0,11.0,67.0,84.0,105.0,20.0,12.0,60.0,30.0,9.0,190.0,692.0,264.0,2.0,2.0,5.0,40.0,3.0,,2.0,3.0,
2022-11-06,0.0,,,,,,5436,2067.0,126.0,55.0,74.0,88.0,615.0,39.0,3.0,288.0,10.0,21.0,13.0,62.0,79.0,116.0,13.0,9.0,53.0,33.0,4.0,306.0,1033.0,267.0,6.0,5.0,2.0,38.0,,,4.0,7.0,
2022-11-07,0.0,,,,,,7323,2528.0,278.0,61.0,130.0,93.0,655.0,41.0,1.0,282.0,6.0,30.0,30.0,60.0,63.0,111.0,14.0,9.0,74.0,47.0,4.0,747.0,1794.0,198.0,4.0,4.0,3.0,33.0,11.0,2.0,5.0,5.0,
2022-11-08,0.0,,,,,,7740,2808.0,488.0,78.0,178.0,88.0,698.0,52.0,7.0,405.0,2.0,25.0,27.0,105.0,70.0,98.0,18.0,9.0,137.0,67.0,6.0,1047.0,1073.0,158.0,10.0,7.0,4.0,45.0,11.0,2.0,9.0,8.0,
2022-11-09,0.0,,,,,,8494,2707.0,753.0,95.0,187.0,109.0,689.0,104.0,6.0,334.0,6.0,48.0,39.0,113.0,59.0,277.0,20.0,10.0,241.0,91.0,9.0,1241.0,1125.0,105.0,43.0,4.0,4.0,44.0,8.0,,12.0,11.0,
2022-11-10,0.0,,,,,,10243,2750.0,782.0,114.0,232.0,104.0,668.0,119.0,12.0,259.0,5.0,21.0,37.0,100.0,109.0,163.0,19.0,14.0,224.0,96.0,7.0,3005.0,1210.0,77.0,37.0,14.0,4.0,28.0,8.0,2.0,10.0,13.0,
2022-11-11,0.0,,,,,,11323,3319.0,1240.0,114.0,245.0,142.0,718.0,80.0,14.0,253.0,3.0,26.0,57.0,100.0,147.0,360.0,29.0,23.0,368.0,327.0,9.0,2163.0,1277.0,58.0,131.0,47.0,9.0,28.0,14.0,1.0,11.0,10.0,
2022-11-12,0.0,,,,,,14228,3788.0,1817.0,230.0,271.0,176.0,790.0,287.0,9.0,419.0,2.0,56.0,60.0,82.0,189.0,305.0,18.0,40.0,601.0,589.0,6.0,2664.0,1432.0,178.0,102.0,31.0,10.0,25.0,13.0,1.0,13.0,24.0,
2022-11-13,0.0,,,,,,15525,4160.0,2296.0,404.0,214.0,296.0,742.0,146.0,17.0,367.0,1.0,60.0,81.0,76.0,163.0,348.0,18.0,75.0,517.0,689.0,14.0,3014.0,1266.0,304.0,81.0,66.0,15.0,35.0,28.0,3.0,12.0,17.0,
2022-11-14,0.0,,,,,,17298,5220.0,2948.0,461.0,256.0,309.0,799.0,269.0,23.0,375.0,,222.0,76.0,79.0,179.0,525.0,20.0,73.0,819.0,535.0,6.0,2287.0,1330.0,221.0,90.0,48.0,16.0,21.0,49.0,2.0,19.0,21.0,
2022-11-15,0.0,,,,,,19609,6410.0,2798.0,361.0,322.0,303.0,845.0,205.0,35.0,323.0,23.0,238.0,80.0,82.0,169.0,533.0,28.0,149.0,2688.0,409.0,15.0,1874.0,1272.0,189.0,84.0,46.0,16.0,32.0,36.0,10.0,20.0,14.0,
2022-11-16,0.0,,,,,,22080,8883.0,4041.0,423.0,465.0,403.0,927.0,199.0,43.0,246.0,70.0,350.0,73.0,113.0,167.0,482.0,18.0,156.0,1545.0,263.0,19.0,1658.0,1146.0,173.0,52.0,43.0,13.0,20.0,54.0,5.0,19.0,11.0,
2022-11-17,0.0,,,,,,24028,9431.0,4631.0,458.0,409.0,380.0,962.0,167.0,55.0,319.0,72.0,658.0,97.0,147.0,148.0,573.0,24.0,140.0,1568.0,328.0,28.0,1685.0,1393.0,130.0,52.0,45.0,29.0,22.0,37.0,9.0,15.0,16.0,
2022-11-18,0.0,,,,,,23418,8890.0,4713.0,504.0,487.0,534.0,1028.0,133.0,72.0,288.0,56.0,557.0,76.0,214.0,280.0,541.0,55.0,172.0,1142.0,355.0,41.0,1596.0,1350.0,107.0,31.0,53.0,28.0,22.0,48.0,10.0,21.0,14.0,
2022-11-19,1.0,,1.0,,,,23238,8662.0,4683.0,614.0,728.0,612.0,932.0,157.0,140.0,297.0,184.0,771.0,125.0,249.0,360.0,497.0,69.0,185.0,817.0,525.0,56.0,1216.0,960.0,127.0,42.0,50.0,39.0,41.0,66.0,6.0,14.0,11.0,3.0
2022-11-20,2.0,,2.0,,,,26037,8485.0,6073.0,951.0,628.0,797.0,911.0,130.0,232.0,295.0,216.0,655.0,198.0,331.0,671.0,533.0,85.0,242.0,1173.0,736.0,58.0,1204.0,922.0,179.0,56.0,80.0,39.0,39.0,66.0,14.0,19.0,15.0,4.0
2022-11-21,2.0,,,1.0,1.0,,27307,8588.0,6297.0,1426.0,467.0,1037.0,944.0,307.0,234.0,317.0,312.0,732.0,265.0,362.0,988.0,577.0,102.0,278.0,983.0,811.0,115.0,870.0,815.0,125.0,54.0,84.0,48.0,27.0,88.0,24.0,4.0,17.0,9.0
2022-11-22,0.0,,,,,,28183,8304.0,6866.0,1476.0,639.0,1231.0,947.0,339.0,270.0,312.0,398.0,725.0,245.0,398.0,779.0,607.0,137.0,336.0,937.0,956.0,135.0,850.0,645.0,132.0,87.0,96.0,68.0,35.0,141.0,18.0,56.0,10.0,8.0
2022-11-23,1.0,,1.0,,,,29754,8054.0,7548.0,1611.0,1014.0,1274.0,961.0,279.0,363.0,412.0,319.0,787.0,457.0,496.0,798.0,696.0,302.0,329.0,860.0,942.0,172.0,687.0,646.0,144.0,89.0,119.0,67.0,57.0,154.0,29.0,73.0,11.0,4.0
2022-11-24,0.0,,,,,,31987,7979.0,6378.0,1854.0,929.0,1295.0,977.0,345.0,260.0,390.0,578.0,822.0,421.0,571.0,807.0,735.0,418.0,347.0,870.0,3374.0,241.0,857.0,629.0,160.0,157.0,165.0,86.0,74.0,150.0,32.0,69.0,14.0,3.0
2022-11-25,0.0,,,,,,34202,7911.0,7659.0,2576.0,1473.0,1523.0,967.0,475.0,301.0,446.0,622.0,851.0,584.0,706.0,878.0,1039.0,527.0,380.0,712.0,1717.0,280.0,985.0,529.0,304.0,129.0,147.0,89.0,100.0,131.0,37.0,107.0,16.0,1.0
2022-11-26,1.0,,,,,1.0,38172,8033.0,8809.0,4245.0,1195.0,1618.0,992.0,488.0,301.0,546.0,1207.0,947.0,570.0,705.0,899.0,1074.0,590.0,417.0,689.0,1622.0,477.0,962.0,549.0,222.0,279.0,177.0,130.0,140.0,140.0,42.0,93.0,14.0,
2022-11-27,0.0,,,,,,38808,8140.0,9612.0,3860.0,1302.0,1846.0,1006.0,643.0,396.0,443.0,1586.0,1038.0,695.0,683.0,968.0,754.0,475.0,423.0,637.0,986.0,469.0,822.0,562.0,393.0,331.0,229.0,144.0,140.0,95.0,45.0,66.0,18.0,1.0
2022-11-28,0.0,,,,,,37477,8194.0,8721.0,4370.0,1460.0,1565.0,1014.0,679.0,384.0,578.0,832.0,933.0,794.0,649.0,864.0,732.0,566.0,457.0,609.0,700.0,465.0,833.0,485.0,351.0,398.0,237.0,178.0,167.0,134.0,51.0,57.0,18.0,2.0
2022-11-29,0.0,,,,,,36683,8006.0,7792.0,4494.0,2056.0,1398.0,1019.0,696.0,597.0,692.0,802.0,795.0,870.0,663.0,930.0,723.0,612.0,514.0,534.0,487.0,462.0,651.0,417.0,291.0,262.0,269.0,187.0,145.0,186.0,45.0,71.0,14.0,3.0
2022-11-30,0.0,,,,,,34942,7252.0,6584.0,5006.0,2330.0,1405.0,989.0,955.0,755.0,752.0,732.0,725.0,721.0,677.0,646.0,641.0,559.0,517.0,471.0,452.0,431.0,429.0,332.0,303.0,293.0,253.0,197.0,182.0,165.0,91.0,81.0,12.0,4.0
