项目,2005年
一、税收收入合计,35234416
国内增值税,9064882
国内消费税,1269621
海关代征进口环节增值税和消费税,8592978
营业税,5129063
企业所得税(内资）,4679478
外商投资企业和外国企业所得税,1649618
个人所得税,2798104
城镇土地使用税,20864
投资方向调节税,1927
城市维护建设费,497914
证券交易印花税,411162
其他印花税,248125
土地增值税,246277
房产税,341043
车船税,14160
车辆购置税,269200
二、出口退税,-3929506
