项目,2007年1季度,2007年上半年,2007年前3季度,2007年
一、税收收入合计,13547659,30410173,48530729,64705330
国内增值税,3136362,6262355,9363791,12552743
国内消费税,540912,976251,1408891,1811150
海关代征进口环节增值税和消费税,3019397,6028759,9265835,12208403
营业税,1862270,3482752,5372050,7146415
内资企业所得税,1639878,4330862,6237453,8011918
涉外企业所得税,721979,1780824,2567361,3102494
个人所得税,1239366,2239723,3235662,4235240
城镇土地使用税,800,1352,1465,107061
投资方向调节税,0,0,0,0
城市维护建设费,171806,322829,490863,655318
证券交易印花税,871713,4282715,9558273,13309917
其他印花税,47247,109388,185373,255828
土地增值税,145117,268591,384489,473977
房产税,62142,139954,162677,428292
车船税,2370,5859,7506,25038
车辆购置税,86300,177959,289040,381536
二、出口退税,-1146790,-2977830,-4614217,-5809200
