项目,2008年1季度,2008年上半年,2008年前3季度,2008年
一、税收收入合计,19673334,38807934,53510793,65575384
国内增值税,3639867,7020653,10404095,13417138
国内消费税,640830,1143253,1629522,2062566
海关代征进口环节增值税和消费税,3790422,7590548,11386124,13914477
营业税,2238002,4111982,5948977,7634153
企业所得税（内资）,2026622,6246940,8023633,9352307
企业所得税（外资）,1029280,2745511,3739364,4672249
个人所得税,1671386,2871722,4038208,5122347
城镇土地使用税,13960,161757,199742,340949
投资方向调节税,0,0,0,0
城市维护建设费,197203,366991,536575,687707
证券交易印花税,3988094,5584272,6281134,6628647
其他印花税,82199,155048,241505,322984
土地增值税,188341,311287,426977,494251
房产税,64758,284744,334923,522231
车船税,8943,19308,27435,42046
车辆购置税,93427,193918,292579,361332
二、出口退税,-1443406,-2925488,-4756092,-6260800
