,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,大连市,吉林省,黑龙江省,上海市,江苏省,浙江省,宁波市,安徽省,福建省,厦门市,江西省,山东省,青岛市,河南省,湖北省,湖南省,广东省,深圳市,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,新疆生产建设兵团
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,3610300000000.0,1408400000000.0,3620700000000.0,1765200000000.0,1736000000000.0,2511500000000.0,703000000000.0,1231100000000.0,1369900000000.0,3870100000000.0,10271900000000.0,6461300000000.0,1240900000000.0,3868100000000.0,4390400000000.0,638400000000.0,2569200000000.0,7312900000000.0,1240100000000.0,5499700000000.0,4344300000000.0,4178200000000.0,11076100000000.0,2767000000000.0,2215700000000.0,553200000000.0,2500300000000.0,4859900000000.0,1782700000000.0,2452200000000.0,190300000000.0,2618200000000.0,901700000000.0,300600000000.0,392100000000.0,1379800000000.0,
2019,3537100000000.0,1410400000000.0,3510500000000.0,1702700000000.0,1721300000000.0,2491000000000.0,700200000000.0,1172700000000.0,1361300000000.0,3815500000000.0,9865700000000.0,6235200000000.0,1198500000000.0,3711400000000.0,4239500000000.0,599500000000.0,2475800000000.0,7106800000000.0,1174100000000.0,5425900000000.0,4582800000000.0,3975200000000.0,10767100000000.0,2692700000000.0,2123700000000.0,530900000000.0,2360600000000.0,4661600000000.0,1676900000000.0,2322400000000.0,169800000000.0,2579300000000.0,871800000000.0,296600000000.0,374800000000.0,1359700000000.0,
2018,3310600000000.0,1881000000000.0,3249500000000.0,1681800000000.0,1728900000000.0,2531500000000.0,766900000000.0,1507500000000.0,1284700000000.0,3268000000000.0,9259500000000.0,5619700000000.0,1074600000000.0,3000700000000.0,3868800000000.0,479100000000.0,2198500000000.0,6664900000000.0,1200200000000.0,4805600000000.0,4202200000000.0,3633000000000.0,9727800000000.0,2422200000000.0,1962800000000.0,483200000000.0,2036300000000.0,4067800000000.0,1480600000000.0,2088100000000.0,147800000000.0,2443800000000.0,824600000000.0,286500000000.0,370500000000.0,1219900000000.0,
2017,2801500000000.0,1854900000000.0,3401600000000.0,1552800000000.0,1609600000000.0,2340900000000.0,,1494500000000.0,1590300000000.0,3063300000000.0,8587000000000.0,5176800000000.0,,2701800000000.0,3218200000000.0,,2000600000000.0,7263400000000.0,,4455300000000.0,3547800000000.0,3390300000000.0,8970500000000.0,,1852300000000.0,446300000000.0,1942500000000.0,3698000000000.0,1354100000000.0,1637600000000.0,131100000000.0,2189900000000.0,746000000000.0,262500000000.0,344400000000.0,1088200000000.0,
2016,2566900000000.0,1788500000000.0,3207000000000.0,1305000000000.0,1812800000000.0,2224700000000.0,,1477700000000.0,1538600000000.0,2817900000000.0,7738800000000.0,4725100000000.0,,2440800000000.0,2881100000000.0,,1849900000000.0,6802400000000.0,,4047200000000.0,3266500000000.0,3155100000000.0,8085500000000.0,,1831800000000.0,405300000000.0,1774100000000.0,3293500000000.0,1177700000000.0,1478800000000.0,115100000000.0,1940000000000.0,720000000000.0,257200000000.0,316900000000.0,965000000000.0,
2015,2301500000000.0,1653800000000.0,2980600000000.0,1276600000000.0,1783200000000.0,2866900000000.0,,1406300000000.0,1508400000000.0,2512300000000.0,7011600000000.0,4288600000000.0,,2200600000000.0,2598000000000.0,,1672400000000.0,6300200000000.0,,3700200000000.0,2955000000000.0,2890200000000.0,7281300000000.0,,1680300000000.0,370300000000.0,1571700000000.0,3005300000000.0,1050300000000.0,1361900000000.0,102600000000.0,1802200000000.0,679000000000.0,241700000000.0,291200000000.0,932500000000.0,
