,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,出口退税
,国内增值税,国内消费税,海关代征进口环节增值税和消费税,企业所得税,个人所得税,城镇土地使用税,城市维护建设税,证券交易印花税,其他印花税,土地增值税,房产税,车船税,车辆购置税,资源税,契税,耕地占用税,环境保护税,其他税收,出口退税
2020Q1,150993730000.0,35125800000.0,63141740000.0,97871530000.0,46584010000.0,135150000.0,8157980000.0,15291290000.0,2638850000.0,16030860000.0,2874400000.0,453280000.0,1824730000.0,48780000.0,7144440000.0,86180000.0,47390000.0,-84470000.0,-37428060000.0
2020Q2,112141800000.0,25296820000.0,69676590000.0,123913320000.0,38283520000.0,965820000.0,5912790000.0,20347380000.0,2257360000.0,18251640000.0,9330260000.0,533470000.0,2600530000.0,40840000.0,9047970000.0,179640000.0,48740000.0,-1870000.0,-43350560000.0
2020Q3,113932120000.0,21440790000.0,83799000000.0,70914190000.0,40809140000.0,27540000.0,6825910000.0,30024200000.0,2302060000.0,8581650000.0,457670000.0,529640000.0,3042860000.0,39840000.0,11969780000.0,486780000.0,54260000.0,-14090000.0,-22817470000.0
2020Q4,89060430000.0,2188620000.0,74595790000.0,64856730000.0,44302450000.0,681350000.0,6293810000.0,2002330000.0,2707360000.0,6903640000.0,7212460000.0,544660000.0,2746550000.0,15480000.0,9848080000.0,76730000.0,44860000.0,-11570000.0,-18585390000.0
