,居住房屋,居住房屋,居住房屋,居住房屋,居住房屋,居住房屋,居住房屋,居住房屋,居住房屋,非居住房屋,非居住房屋,非居住房屋,非居住房屋,非居住房屋,非居住房屋,非居住房屋,非居住房屋,非居住房屋,非居住房屋
,合计,花园住宅,职工住宅,联列住宅,公寓,新式里弄,旧式里弄,简屋,其他,非居住房屋,工厂,学校,仓库堆栈,办公建筑,商场店铺,医院,旅馆,影剧院,其他
2010,526390000.0,20640000.0,479510000.0,,4920000.0,5270000.0,12370000.0,290000.0,3390000.0,409520000.0,185240000.0,31720000.0,16540000.0,63650000.0,54970000.0,7540000.0,9310000.0,750000.0,39790000.0
2015,630070000.0,17900000.0,,14000000.0,583080000.0,3080000.0,11900000.0,110000.0,,573830000.0,251030000.0,33660000.0,18680000.0,73430000.0,67730000.0,6310000.0,12650000.0,650000.0,109700000.0
2016,654930000.0,18150000.0,,15080000.0,608020000.0,2960000.0,10610000.0,110000.0,,622310000.0,264910000.0,35480000.0,19150000.0,81500000.0,74720000.0,6990000.0,13720000.0,660000.0,125190000.0
2017,672810000.0,18400000.0,,15650000.0,624530000.0,3030000.0,11090000.0,110000.0,,646260000.0,272060000.0,36480000.0,19540000.0,84610000.0,78040000.0,7180000.0,14210000.0,700000.0,133450000.0
2018,686510000.0,18520000.0,,16100000.0,639620000.0,2340000.0,9820000.0,110000.0,,682320000.0,283060000.0,37980000.0,20620000.0,89980000.0,81580000.0,7600000.0,15200000.0,710000.0,145580000.0
2019,699910000.0,18560000.0,,16750000.0,652060000.0,2340000.0,10080000.0,110000.0,,712160000.0,290920000.0,39700000.0,20940000.0,94680000.0,85020000.0,8190000.0,16140000.0,770000.0,155820000.0
2020,711520000.0,18610000.0,,17150000.0,663230000.0,2560000.0,9870000.0,100000.0,,742790000.0,298370000.0,42350000.0,21280000.0,99140000.0,88160000.0,8730000.0,16960000.0,760000.0,167040000.0
