nan,社会融资规模存量 AFRE(stock),人民币贷款 RMB loans,外币贷款（折合人民币） Foreign currency-denominated loans (RMB equivalent),委托贷款 Entrusted loans,信托贷款 Trust loans,未贴现银行承兑汇票 Undiscounted bankers' acceptances,企业债券 Net financing of corporate bonds,政府债券 Government bonds,非金融企业境内股票 Equity financing on the domestic stock market by non-financial enterprises,存款类金融机构资产支持证券 Asset-backed securities of depository financial institutions,贷款核销 Loans written off
2022-01-31,320030000000000.0,195710000000000.0,2260000000000.0,10930000000000.0,4280000000000.0005,3480000000000.0,30450000000000.0,53670000000000.0,9610000000000.0,2150000000000.0,6340000000000.0
2022-02-28,321120000000000.0,196620000000000.0,2290000000000.0,10920000000000.0,4200000000000.0,3060000000000.0,30760000000000.0,53940000000000.0,9660000000000.0,2150000000000.0,6360000000000.0
2022-03-31,325640000000000.0,199850000000000.0,2330000000000.0,10930000000000.0,4179999999999.9995,3080000000000.0,31060000000000.0,54650000000000.0,9760000000000.0,2140000000000.0002,6520000000000.0
2022-04-30,,,,,,,,,,,
2022-05-31,,,,,,,,,,,
2022-06-30,,,,,,,,,,,
2022-07-31,,,,,,,,,,,
2022-08-31,,,,,,,,,,,
2022-09-30,,,,,,,,,,,
2022-10-31,,,,,,,,,,,
2022-11-30,,,,,,,,,,,
2022-12-31,,,,,,,,,,,
