项目 Item,一、各项存款 Total Deposits,1.单位存款 Corporate Deposits,其中：活期存款 Demand Deposits,定期存款 Time Deposits,通知存款 Notice Deposits,保证金存款 Margin Deposits,2.个人存款 Personal Deposits,储蓄存款 Savings Deposits,保证金存款 Margin Deposits,结构性存款 Structure Deposits,3.财政性存款 Fiscal Deposits,4.临时性存款 Temporary Deposits,5.委托存款 Designated Deposits,6.其他存款 Other Deposits,二、金融债券 Financial Bond,三、对国际金融机构负债 Liabilities to International Financial Ins,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.短期贷款 Short-term Loans,2.中长期贷款 Medium & Long-term Loans,3.融资租赁 Financial Lease,4.票据融资 Bill Financing,5.各项垫款 Miscellaneous Advances,（二）境外贷款 Overseas Loans,二、有价证券 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,五、在国际金融机构资产 Assets with International Financial Instit,资金运用总计 Total Funds Uses
2014-01-31,106391926000000.0,51512383000000.0,19487170000000.0,15916303000000.0,1924975999999.9998,6335807000000.0,48896385000000.0,46622324000000.0,71518000000.0,2202543000000.0,3166505000000.0,156796000000.0,28795999999.999996,2631060000000.0,808155000000.0,85449000000.0,-11326215000000.0,95959315000000.0,78116072000000.0,76513224000000.0,31836340000000.004,41880171000000.0,826628000000.0001,1878784000000.0,91302000000.0,1602847000000.0,13005387000000.0,4612574000000.0,158299000000.0,95959315000000.0
2014-02-28,108454042000000.0,52963084000000.0,20549974000000.0,16174482999999.998,1503596000000.0,6320655000000.0,49004384000000.0,46831368000000.0,72351000000.0,2100664000000.0,3588739000000.0,194569000000.0,19978000000.0,2683288000000.0,810239000000.0,85795000000.0,-12451967000000.0,96898108000000.0,78904411000000.0,77279744000000.0,32185874000000.0,42307145000000.0,838137000000.0001,1846064000000.0,102523000000.0,1624667000000.0,12945743000000.0,4821565000000.0,159405000000.0,96898108000000.0
2014-03-31,112223510000000.02,55470716000000.0,21585545000000.0,16550395000000.002,1686743999999.9998,6612392999999.999,50443295000000.0,48243582000000.0,73962000000.0,2125750999999.9998,3106353000000.0,190719000000.0,16249000000.0,2996178000000.0,921952000000.0,87964000000.0,-14805970000000.002,98427455000000.0,80116049000000.0,78468966000000.0,32756078999999.996,42849674000000.0,866254000000.0001,1885388000000.0,111571000000.0,1647082000000.0,12962470000000.0,5122025000000.0,159927000000.0,98427455000000.0
2014-04-30,111706012999999.98,55788457999999.99,21363656000000.0,16713500000000.0,1824423000000.0,6644553999999.999,49191229000000.0,46856776000000.0,73169000000.0,2261283000000.0,3667865000000.0,164503000000.0,26964000000.0,2866994000000.0,939926000000.0,88710000000.0,-13357003000000.0,99377647000000.0,80914140000000.0,79254750000000.0,32887955000000.0,43382611000000.0,886201000000.0,1972197000000.0,125785999999.99998,1659390000000.0002,13094846000000.0,5140736000000.0,160940000000.0,99377647000000.0
2014-05-31,113309122000000.0,56817672000000.0,21633348000000.0,16966200000000.0,1772716000000.0,6814780000000.0,49351721000000.0,46989580000000.0,73880000000.0,2288260000000.0,3970564000000.0,214781000000.0,20605000000.0,2933780000000.0,903117000000.0,89111000000.0,-13736953000000.0,100564397000000.0,81778523000000.0,80098600000000.0,32992084999999.996,43946353000000.0,895211000000.0,2127172000000.0,137779000000.0,1679924000000.0002,13239520000000.002,5318321000000.0,161049000000.0,100564397000000.0
2014-06-30,117259997000000.0,58924950000000.0,22604653000000.0,17324125000000.0,1730945000000.0,7195098000000.0,51206463000000.0,48781009000000.0,76888000000.0,2348566000000.0,3667430000000.0005,217555000000.00003,15730000000.000002,3227868000000.0,988258000000.0,89385000000.0,-16193979000000.0,102143661000000.0,82879342000000.0,81176962000000.0,33512013000000.0,44397136000000.0,927186000000.0,2206867000000.0,133760999999.99998,1702380000000.0,13441928000000.0,5594344000000.0,161063000000.0,102143661000000.0
2014-07-31,115378407000000.0,57756516000000.0,21935103000000.0,17300557000000.0,1611455000000.0,6916346000000.001,50073823000000.0,47583147000000.0,76204000000.0,2414472000000.0,4347807000000.0,169419000000.0,-4773000000.0,3035614000000.0,901362999999.9999,88674000000.0,-13648928000000.0,102719516000000.0,83260184000000.0,81518247000000.0,33248755000000.0,44791135000000.0,936756000000.0,2380285000000.0,161316000000.0,1741937000000.0,13643295000000.002,5588952000000.0,160101000000.0,102719516000000.0
2014-08-31,115579837000000.02,58012510000000.0,21878209000000.0,17480216000000.0,1615088000000.0,6968858000000.0,49853568000000.0,47516141000000.0,77374000000.0,2260052000000.0,4447051000000.0,175074000000.0,37810000000.0,3053824000000.0,1005062999999.9999,88301000000.0,-13021652000000.0,103651550000000.0,83940192000000.0,82207656000000.0,33233534000000.004,45229320000000.0,950542000000.0,2618068000000.0,176191000000.0,1732536000000.0,13807163000000.0,5678766000000.0,158444000000.0,103651550000000.0
2014-09-30,116381007000000.0,58006048000000.0,21469917000000.0,17694219000000.0,2134593999999.9998,6957539000000.0,50913947000000.0,48516855000000.0,75567000000.0,2321525000000.0,4130529000000.0,159051000000.0,36199000000.0,3135234000000.0,1040264000000.0,88002000000.0,-12776732000000.0,104732541000000.0,84736424000000.0,82989072000000.0,33458821999999.996,45672043000000.0,976382000000.0,2703860000000.0,177965000000.0,1747352000000.0,13955732999999.998,5817718000000.0,155683000000.0,104732541000000.0
2014-10-31,116134906000000.0,57708401000000.0,21832754000000.0,17488462000000.0,1696205000000.0,6722573000000.0,50264500000000.0,47971982000000.0,78842000000.0,2213676000000.0,4814222000000.0,165659000000.0,19408000000.0,3162717000000.0,1002418000000.0,86526000000.0,-11630320000000.0,105593530000000.0,85207785000000.0,83463922000000.0,33439657000000.0,46011435000000.0,989604999999.9999,2820534000000.0,202691000000.0,1743863000000.0,14339578000000.0,5825240000000.0,153943000000.0,105593530000000.0
