项目 Item,一、各项存款 Total Deposits,（一）境内存款 Domestic Deposits,1.住户存款 Deposits of Households,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,2.非金融企业存款 Deposits of Non-financial Enterprises,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,3.政府存款 Deposits of Government,（1）财政性存款 Fiscal Deposits,（2）机关团体存款 Deposits of Government Departments & Organizations,4.非银行业金融机构存款 Deposits of Non-banking Financial Institutions,（二）境外存款 Overseas Deposits,二、金融债券 Financial Bonds,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.住户贷款 Loans to Households,（1）短期贷款 Short-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,（2）中长期贷款 Mid & Long-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,2.非金融企业及机关团体贷款 Loans to Non-financial Enterprises and Government Departments & Organizations,（1）短期贷款 Short-term Loans,（2）中长期贷款 Mid & Long-term Loans,（3）票据融资 Paper Financing,（4）融资租赁 Financial Leases,（5）各项垫款 Total Advances,3.非银行业金融机构贷款 Loans to Non-banking Financial Institutions,（二）境外贷款 Overseas Loans,二、债券投资 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2015-01-31,126430285000000.02,124108718000000.0,51136878000000.0,18389599000000.0,32747278999999.996,40522677000000.0,14740599000000.0,25782078000000.0,23134839000000.0,4229692000000.0,18905147000000.0,9314325000000.0,2321566000000.0,1241254000000.0,84225000000.0,-15624038000000.0,112131726000000.0,89292962000000.0,86965265000000.0,23585030000000.0,8185145000000.0,3316406000000.0,4868739000000.0,15399885000000.0,12395737000000.0,3004148000000.0,62913744999999.99,25912687000000.0,32711988000000.0,3016246000000.0,1063499000000.0,209326000000.00003,466489999999.99994,2327696000000.0,15112623000000.002,7578487000000.0,147654000000.0,112131726000000.0
2015-02-28,126471040999999.98,124215859000000.02,53698428000000.0,19487411000000.0,34211015999999.996,38866990000000.0,13423213000000.0,25443776000000.0,22276481000000.0,3759158999999.9995,18517321000000.0,9373961000000.0,2255182000000.0,1232231000000.0,83232000000.0,-14168670000000.002,113617834000000.02,90278614000000.0,87982526000000.0,23797778000000.0,8211367999999.999,3310569000000.0,4900799000000.0,15586410000000.0,12552946000000.0,3033463000000.0,63833912000000.0,26246186000000.0,33221287000000.0,3056205000000.0,1078287999999.9999,231946000000.0,350836000000.0,2296088000000.0,15218742000000.002,7973819000000.0,146659000000.0,113617834000000.02
2015-03-31,129149398000000.0,126934808000000.0,54314818000000.01,19239970000000.0,35074846999999.996,40000087000000.0,14030106000000.0,25969981000000.0,22497884000000.0,3435674000000.0,19062210000000.0,10122019000000.0,2214590000000.0,1174110000000.0,82132000000.0,-14784751999999.998,115620888999999.98,91524564000000.0,89159890000000.0,24048030000000.0,8294691000000.0,3370940000000.0,4923751000000.0,15753339000000.002,12695362000000.0,3057977000000.0,64570161000000.0,26555462000000.0,33579228999999.996,3084602000000.0,1108225000000.0,242642000000.0,541700000000.0,2364674000000.0,15352253000000.0,8599444000000.0,144628000000.0,115620888999999.98
2015-04-30,129895092000000.0,127569462999999.98,53265347000000.0,18422392000000.0,34842955000000.0,40272034000000.0,14004232000000.0,26267802000000.0,22873566000000.0,3545799000000.0,19327767000000.0,11158515000000.0,2325629000000.0,1024586000000.0,79085000000.0,-13717432999999.998,117281330000000.0,92238459000000.0,89826880000000.0,24340121000000.0,8430025000000.0,3495741000000.0005,4934284000000.0,15910095000000.002,12835453000000.0,3074642000000.0,65037764000000.0,26601215999999.996,33836774000000.0,3221105000000.0,1123010000000.0,255658000000.0,448995000000.0,2411579000000.0,15579446000000.0,9317871000000.0,145555000000.0,117281330000000.0
2015-05-31,133046619000000.0,130732787000000.02,52814184000000.0,18158606000000.0,34655578000000.004,41213630000000.0,14394746000000.0,26818884000000.004,23599616000000.0,3931051000000.0,19668565000000.0,13105357000000.0,2313832000000.0,959732000000.0,80578000000.0,-14625273000000.002,119461657000000.0,93143440000000.0,90721282000000.0,24651702000000.0,8535309000000.0,3592715000000.0,4942594000000.0,16116393000000.0,13014323000000.0,3102070000000.0,65588284000000.0,26638795000000.0,34089753999999.996,3445812999999.9995,1139723000000.0,274198999999.99997,481295000000.0,2422158000000.0,15890147000000.0,10281714000000.0,146355000000.0,119461657000000.0
2015-06-30,135995780000000.0,133671640999999.98,53750003000000.0,19010012000000.0,34739990999999.996,42257630000000.0,15140040000000.0,27117590000000.004,24250999000000.0,4061072000000.0,20189927000000.0,13413009000000.0,2324139000000.0,905670000000.0001,80517000000.0,-14733132999999.998,122248834000000.02,94425715000000.0,92050224000000.0,25112963000000.0,8705798000000.0,3713829000000.0,4991970000000.0,16407164000000.002,13264023000000.002,3143142000000.0,66500363000000.0,26866519000000.0,34412896000000.004,3790098000000.0005,1188721000000.0,242129000000.0,436899000000.0,2375490000000.0,16697539000000.002,10978509000000.0,147071000000.0,122248834000000.02
2015-07-31,137917256000000.0,135651992000000.0,53707164000000.0,19011782000000.0,34695382000000.0,42044897000000.0,14880310999999.998,27164586000000.0,24968791000000.0,4576042000000.0,20392749000000.0,14931141000000.0,2265264000000.0,896504000000.0001,80377000000.0,-13800067000000.002,125094070000000.0,96003502000000.0,93513200000000.0,25388243000000.0,8702203999999.999,3735860000000.0,4966344000000.0,16686039000000.002,13519574000000.0,3166465000000.0,66801806999999.99,26758769000000.0,34537040999999.996,4046246000000.0,1202037000000.0,257713000000.0,1323150000000.0,2490303000000.0,17474064000000.002,11470071000000.0,146433000000.0,125094070000000.0
2015-08-31,138317017000000.0,136112581000000.0,53934929000000.0,19172874000000.0,34762055000000.0,42948048000000.0,15470376999999.998,27477671000000.004,25072965000000.0,4417045000000.0,20655920000000.0,14156639000000.002,2204436000000.0,892625000000.0,79221000000.0,-12801851000000.0,126487012000000.02,97054974000000.0,94348286000000.0,25742492000000.0,8770883000000.0,3807569000000.0,4963314000000.0,16971609000000.0,13785326000000.0,3186283000000.0,67313975000000.0,26821552000000.0,34711546999999.996,4291742000000.0,1224491000000.0,264642999999.99997,1291819000000.0,2706688000000.0,17850360000000.0,11432296000000.0,149382000000.0,126487012000000.02
2015-09-30,137882750000000.0,135808696000000.0,54706606999999.99,19706104000000.0,35000502000000.0,43060313000000.0,15487178000000.0,27573134999999.996,25103709000000.0,4107876999999.9995,20995832000000.0,12938067000000.0,2074054000000.0,1016100000000.0,79583000000.0,-11238436000000.0,127739996000000.0,97758872000000.0,95130985000000.0,26161651000000.0,8864629000000.0,3892008999999.9995,4972620000000.0,17297022000000.0,14079494000000.0,3217529000000.0,67685834000000.0,26810876000000.0,35053995000000.0,4321185000000.0,1248431000000.0,251348000000.0,1283500000000.0,2627887000000.0,18300966000000.0,11531467000000.0,148690000000.0,127739996000000.0
2015-10-31,138444449000000.0,136435228000000.0,54112887000000.0,19408767000000.0,34704120000000.0,43057867000000.0,16256217000000.002,26801650000000.0,25850516000000.0,4618937000000.0,21231579000000.0,13413957999999.998,2009221000000.0,985887000000.0001,83418000000.0,-10801305000000.0,128712450000000.0,98151874000000.0,95509474000000.0,26328830000000.0,8832052000000.0,3915430000000.0005,4916622000000.0,17496778000000.0,14275626000000.0,3221152000000.0,67935924000000.0,26720331000000.0,35188270000000.0,4504659000000.0,1257505000000.0,265159000000.0,1244720000000.0,2642400000000.0,18723408000000.0,11685463000000.0,151705000000.0,128712450000000.0
