项目 Item,一、各项存款 Total Deposits,（一）境内存款 Domestic Deposits,1.住户存款 Deposits of Households,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,2.非金融企业存款 Deposits of Non-financial Enterprises,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,3.政府存款 Deposits of Government,（1）财政性存款 Fiscal Deposits,（2）机关团体存款 Deposits of Government Departments & Organizations,4.非银行业金融机构存款 Deposits of Non-banking Financial Institutions,（二）境外存款 Overseas Deposits,二、金融债券 Financial Bonds,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.住户贷款 Loans to Households,（1）短期贷款 Short-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,（2）中长期贷款 Mid & Long-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,2.非金融企业及机关团体贷款 Loans to Non-financial Enterprises and Government Departments & Organizations,（1）短期贷款 Short-term Loans,（2）中长期贷款 Mid & Long-term Loans,（3）票据融资 Paper Financing,（4）融资租赁 Financial Leases,（5）各项垫款 Total Advances,3.非银行业金融机构贷款 Loans to Non-banking Financial Institutions,（二）境外贷款 Overseas Loans,二、债券投资 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2018-01-31,173266327000000.0,171035646000000.0,66074753000000.0,25472046000000.0,40602707000000.0,57178389000000.0,24423466000000.0,32754924000000.0,31962353999999.996,5094479000000.0,26867876000000.0,15820150000000.0,2230680000000.0,5398026000000.0,922000000.0000001,3376541000000.0005,182041816000000.0,128632312999999.98,125011789999999.98,41431618000000.0,11707527000000.0,7047072000000.0,4660455000000.0,29724090000000.004,25207884000000.0,4516207000000.0,82751506000000.0,29521592000000.0,47157270000000.0,3921151000000.0,1998911000000.0,152581000000.0,828667000000.0,3620523000000.0005,29571934000000.004,23707567000000.0,130002000000.0,182041816000000.0
2018-02-28,172961663000000.0,170716430000000.0,68963852000000.0,26835528999999.996,42128323000000.0,54727536000000.0,22326222000000.0,32401315000000.004,30893846000000.004,4565768000000.0,26328077000000.0,16131196000000.0,2245232000000.0,5478770000000.0,927000000.0,4476488000000.0,182917848000000.0,129515176000000.0,125858263999999.98,41707706000000.0,11661640000000.0,6998160000000.001,4663480000000.0,30046065999999.996,25500355000000.0,4545711000000.0,83502099000000.0,29673915999999.996,47811112000000.0,3843756000000.0,2017259000000.0,156056000000.0,648459000000.0,3656912000000.0005,29641394000000.0,23631917000000.0,129360999999.99998,182917848000000.0
2018-03-31,174443647000000.0,172150441000000.0,69496644999999.99,26292057000000.0,43204589000000.0,55833603000000.0,23131452000000.0,32702151000000.0,31108927000000.0,4085498000000.0005,27023428999999.996,15711266000000.0,2293206000000.0,5546517000000.0,919999999.9999999,3235193000000.0,183226278000000.0,130454435000000.02,126975877000000.0,42283231000000.0,11863944000000.0,7129510000000.001,4734434000000.0,30419287000000.0,25819187000000.0,4600100000000.0,84066735000000.0,29776628999999.996,48249924000000.0,3831632000000.0,2054215000000.0002,154335000000.0,625911000000.0,3478558000000.0,29870865000000.004,22771945000000.0,129033000000.0,183226278000000.0
2018-04-30,174880696000000.0,172588717000000.0,68175613000000.0,25426989000000.0,42748624000000.0,56280927000000.0,23242995000000.0,33037932000000.0,32064471999999.996,4803943000000.0,27260528999999.996,16067704999999.998,2291979000000.0,5468930000000.0,927999999.9999999,4687145000000.0,185037699000000.0,131702772000000.0,128162609000000.02,42811404000000.0,12037832000000.0,7304319000000.0,4733512000000.0,30773571999999.996,26131415000000.0,4642157000000.0,84656993000000.0,29862819000000.0,48717012000000.0,3833822000000.0,2073433000000.0002,169906000000.0,694212000000.0,3540162999999.9995,30315502000000.0,22890571000000.0,128853000000.0,185037699000000.0
2018-05-31,176159427000000.0,173676090000000.0,68397451000000.0,25479658000000.0,42917793000000.0,56233361000000.0,23305365000000.0,32927996000000.004,32764953999999.996,5190104000000.0,27574850000000.0,16280324000000.0,2483337000000.0,5653208000000.0,824000000.0,4047682000000.0,185861142000000.0,132891667000000.0,129325636000000.02,43426176000000.0,12260280000000.0,7483530000000.0,4776750000000.0,31165895000000.0,26458440999999.996,4707455000000.0,85188439000000.0,29822521999999.996,49103836000000.0,3978571000000.0,2101429000000.0,182081000000.0,711021000000.0,3566031000000.0,30510421000000.004,22331572000000.0,127482000000.0,185861142000000.0
2018-06-30,178339251000000.0,175968421000000.0,69518468000000.01,26012659000000.0,43505808000000.0,57251368000000.01,24105342000000.0,33146026000000.0,32762593000000.0,4501340000000.0,28261253999999.996,16435992000000.002,2370830000000.0,5841044000000.0,723000000.0,3427683999999.9995,187608702000000.0,134809929000000.0,131212019000000.0,44132160000000.0,12497633000000.0,7634967999999.999,4862665000000.0,31634527000000.0,26837578999999.996,4796949000000.0,86202920000000.0,30100856000000.0,49517450000000.0,4273233999999.9995,2134249000000.0002,177130000000.0,876939000000.0,3597910000000.0,31239639000000.0,21420571000000.0,138563000000.0,187608702000000.0
2018-07-31,179385927000000.0,176971672000000.0,69237190000000.0,25725313000000.0,43511877000000.0,56556911000000.0,23625763000000.0,32931148000000.0,33874995000000.0,5435831000000.0,28439164000000.0,17302576000000.0,2414255000000.0,5881742000000.0,743000000.0,4272305000000.0005,189540716000000.0,136347865999999.98,132651637999999.98,44766851000000.0,12674743000000.0,7796796000000.001,4877947000000.0,32092108000000.0,27254112000000.0,4837996000000.0,86850372000000.0,29989083000000.0,50004617000000.0,4512021000000.0,2150809000000.0,193841000000.0,1034415000000.0,3696228000000.0,31925992000000.0,21124423000000.0,142436000000.0,189540716000000.0
2018-08-31,180467740000000.0,178022240000000.0,69580372000000.0,25714050000000.0,43866322000000.0,57180567000000.01,23600835000000.0,33579732000000.0,34197094000000.0,5520807000000.0,28676288000000.0,17064206000000.0,2445500000000.0,6041724000000.0,743000000.0,4889657000000.0,191399864000000.0,137587604000000.0,133890015999999.98,45469288000000.0,12935282000000.0,8011089999999.999,4924193000000.0,32534005000000.0,27630277000000.0,4903729000000.0,87430481000000.0,29793318000000.0,50334078000000.0,4922003000000.0,2179022000000.0,202061000000.0,990246999999.9999,3697587000000.0005,32741613000000.0,20927816000000.0,142831000000.0,191399864000000.0
2018-09-30,181242536000000.0,178800525000000.0,70902121000000.0,26300539000000.0,44601583000000.0,57446285000000.0,23170642000000.0,34275643000000.0,34340287000000.0,5178327000000.0,29161959999999.996,16111832000000.0,2442011000000.0,6299169000000.0,748000000.0,5362401000000.0,192904854000000.0,138899835000000.02,135217682000000.0,46216975000000.0,13248773000000.002,8241991000000.0,5006782000000.0,32968202000000.0,27994546000000.004,4973657000000.0,88068705000000.0,29861107000000.0,50710945000000.0,5098980000000.0,2203764000000.0,193909000000.0,932001000000.0,3682153000000.0,33561365999999.996,20300347000000.0,143306000000.0,192904854000000.0
2018-10-31,181624819000000.0,179109845000000.0,70569739000000.0,26031686000000.0,44538053000000.0,56838050000000.0,23448770000000.0,33389280000000.0,35050314000000.0,5760245000000.0,29290069000000.0,16651742000000.002,2514973000000.0,6431214000000.0,756000000.0,5960930000000.0,194017719000000.0,139698487000000.02,135858144000000.0,46780377000000.0,13439218000000.0,8462544000000.0,4976675000000.0,33341158000000.0,28341615000000.004,4999544000000.0,88169135000000.0,29695709000000.004,50851946000000.0,5205382000000.0,2212001000000.0,204097000000.0,908632000000.0,3840343000000.0,33779705000000.0,20393954000000.0,145573000000.0,194017719000000.0
