项目 Item,一、各项存款 Total Deposits,（一）境内存款 Domestic Deposits,1.住户存款 Deposits of Households,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,2.非金融企业存款 Deposits of Non-financial Enterprises,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,3.机关团体存款 Deposits of Government Departments & Organizations,4.财政性存款 Fiscal Deposits,5.非银行业金融机构存款 Deposits of Non-banking Financial Institutions,（二）境外存款 Overseas Deposits,二、金融债券 Financial Bonds,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.住户贷款 Loans to Households,（1）短期贷款 Short-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,（2）中长期贷款 Mid & Long-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,2.企（事）业单位贷款 Loans to Non-financial Enterprises and Government Departments & Organizations,（1）短期贷款 Short-term Loans,（2）中长期贷款 Mid & Long-term Loans,（3）票据融资 Paper Financing,（4）融资租赁 Financial Leases,（5）各项垫款 Total Advances,3.非银行业金融机构贷款 Loans to Non-banking Financial Institutions,（二）境外贷款 Overseas Loans,二、债券投资 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2020-01-31,201199445000000.0,198401341000000.0,86358555000000.0,31659408000000.0,54699147000000.0,60427236000000.0,22688222000000.0,37739014000000.0,29123565999999.996,4484154000000.0,18007830000000.0,2798104000000.0,8640739000000.0,587000000.0,12225738000000.0,222066509000000.0,161930696000000.0,158049653000000.0,55963363000000.0,13477275000000.0,7887536000000.0,5589739000000.0,42486088000000.0,36544450000000.0,5941638000000.0,101253461000000.0,31613686000000.0,58934949000000.0,7976157000000.001,2537011000000.0,191658000000.0,832829000000.0001,3881043000000.0,40373698000000.0,19618071000000.0,144044000000.0,222066509000000.0
2020-02-29,202350056000000.0,199493490000000.0,86263993000000.0,30935438000000.0,55328556000000.01,60751593000000.01,23517657000000.0,37233936000000.0,29470790999999.996,4504962000000.0,18502151000000.0,2856566000000.0,8815350000000.0,592000000.0,12253342000000.0,223419340000000.0,163070920000000.0,159010266000000.0,55549241000000.0,13026021000000.0,7479159000000.0,5546862000000.0,42523220000000.0,36608948000000.0,5914272000000.0,102449746000000.0,32307089000000.0,59369618000000.01,8039592000000.0,2521208000000.0,212239000000.0,1011279000000.0001,4060655000000.0005,40598153000000.0,19607018000000.0,143249000000.0,223419340000000.0
2020-03-31,206416215000000.0,203394912000000.0,88655185000000.0,31230653000000.004,57424531999999.99,63891715000000.0,24698645000000.0,39193070000000.0,30006837000000.0,3769656000000.0,17071519000000.0,3021303000000.0,8996369000000.0,598000000.0,12008567000000.0,227421750000000.0,165965015000000.0,161997258000000.0,56534013000000.0,13538585000000.0,7720167999999.999,5818417000000.0,42995428000000.0,36975576000000.0,6019852000000.0,104643476000000.0,33306146999999.996,60352906000000.01,8247067999999.999,2519363000000.0,217992000000.0,819768000000.0,3967758000000.0,41220111000000.0,20092356000000.0,144267000000.0,227421750000000.0
2020-04-30,207587733000000.0,204689719000000.0,87850014000000.0,30091823000000.0,57758191000000.0,65023630000000.01,24301486000000.0,40722144000000.0,30064584000000.004,3822556000000.0,17928935000000.0,2898014000000.0,8955370000000.0,596000000.0,14005890000000.0,230549589000000.0,167786276000000.0,163743896000000.0,57199631000000.01,13765306000000.0,7832342999999.999,5932964000000.0,43434325000000.0,37340373000000.0,6093953000000.0,105682674000000.0,33338703000000.004,60950421000000.0,8638121000000.001,2533666000000.0,221763000000.0,861590000000.0,4042380000000.0005,41792651000000.0,20821829000000.0,148832000000.0,230549589000000.0
2020-05-31,209903297000000.03,206948031000000.0,88325803000000.0,30134796000000.004,58191007999999.99,65777327000000.0,24662990000000.0,41114337000000.0,30461946999999.996,5130915000000.0,17252038000000.0,2955266000000.0,9120108000000.0,602000000.0,14271328000000.0,233295335000000.0,169443161000000.0,165303812000000.0,57903766000000.0,14003299000000.0,7956807000000.001,6046493000000.0,43900467000000.0,37737022000000.0,6163444000000.0,106600162999999.98,33515701000000.0,61494968999999.99,8796672000000.0,2564747000000.0,228075000000.0,799883000000.0,4139349000000.0,42961794000000.0,20738987000000.0,151394000000.0,233295335000000.0
2020-06-30,212988633000000.0,209964504000000.0,90491614000000.0,31534767000000.0,58956847000000.0,67398780000000.01,25710895000000.0,41687886000000.0,30880253000000.004,4522416000000.0,16671441000000.0,3024128000000.0,9359954000000.0,597000000.0,12455600000000.0,234804784000000.0,171318732000000.0,167142222000000.0,58881106999999.99,14343292000000.002,8080559000000.0,6262733000000.0,44537815000000.0,38239474000000.0,6298341000000.0,107527961000000.02,33926634999999.996,62224951000000.0,8586200000000.0,2600075000000.0,190100000000.0,733155000000.0,4176508999999.9995,43411413000000.0,19920882000000.0,153757000000.0,234804784000000.0
2020-07-31,213101948000000.0,210055266000000.0,89764754000000.0,30849914000000.0,58914840000000.0,65857846000000.0,24839278000000.0,41018567000000.0,30939546999999.996,5009616000000.0,18483504000000.0,3046681000000.0,9612205000000.0,591000000.0,13654563000000.0,236369306000000.0,172363756000000.0,168060480000000.0,59638827000000.0,14494342000000.002,8162986000000.0,6331356000000.0,45144485000000.0,38752560000000.0,6391925000000.0,107706925000000.0,33642102000000.0,62781700000000.0,8484117000000.0,2604971000000.0,194035000000.0,714727000000.0,4303276000000.0,43869431000000.0,19979823000000.0,156297000000.0,236369306000000.0
2020-08-31,215117044000000.0,212072550999999.97,90148414000000.0,31040078000000.004,59108336000000.0,66706015000000.0,25234910000000.0,41471105000000.0,31450728999999.996,5543547000000.0,18223846000000.0,3044493000000.0,9942723000000.0,582000000.0,13311739000000.002,238372088000000.0,173664524000000.0,169331854000000.0,60480263000000.0,14778789000000.002,8326270000000.0,6452520000000.0,45701473000000.0,39210926000000.0,6490548000000.0,108283110000000.02,33656087000000.0,63496202000000.0,8316528999999.999,2615519000000.0,198773000000.0,568481000000.0,4332671000000.0,44877043000000.0,19677146000000.0,153374000000.0,238372088000000.0
2020-09-30,216856950000000.0,213709352000000.0,92091103000000.0,32115865999999.996,59975237000000.0,67764969999999.99,25127679000000.0,42637292000000.0,31237534000000.004,4711834000000.0,17903910000000.0,3147599000000.0,10257743000000.0,578000000.0,13054512000000.0,240169783000000.0,175491727000000.0,171179166000000.0,61448981000000.01,15115835999999.998,8481137000000.0,6634699000000.001,46333145000000.0,39683125000000.0,6650020000000.0,109183839999999.98,33733920000000.0,64560529000000.0,8053284000000.0,2643186000000.0,192920000000.0,546345000000.0,4312562000000.0005,45386324000000.0,19141462000000.0,150270000000.0,240169783000000.0
2020-10-31,216580619000000.0,213477092000000.0,91138934000000.0,31553749000000.0,59585185000000.0,66978396000000.0,25511241000000.0,41467155000000.0,31500455000000.0,5657082000000.0,18202225000000.0,3103527000000.0,10471589000000.0,570000000.0,14104541000000.0,241157319000000.0,176263038000000.0,171834208000000.0,61881805000000.01,15142862000000.0,8524055000000.0,6618807000000.001,46738943000000.0,40027954000000.0,6710989000000.0,109370079000000.0,33605505000000.0,64969922000000.0,7940907000000.001,2661747000000.0,191998000000.0,582323000000.0,4428830000000.0,45638186000000.0,19107829000000.0,148266000000.0,241157319000000.0
