项目 Item,一、各项存款 Total Deposits,（一）境内存款 Domestic Deposits,1.住户存款 Deposits of Households,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,2.非金融企业存款 Deposits of Non-financial Enterprises,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,3.政府存款 Deposits of Government,（1）财政性存款 Fiscal Deposits,（2）机关团体存款 Deposits of Government Departments & Organizations,4.非银行业金融机构存款 Deposits of Non-banking Financial Institutions,（二）境外存款 Overseas Deposits,二、金融债券 Financial Bonds,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.住户贷款 Loans to Households,（1）短期贷款 Short-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,（2）中长期贷款 Mid & Long-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,2.非金融企业及机关团体贷款 Loans to Non-financial Enterprises and Government Departments & Organizations,（1）短期贷款 Short-term Loans,（2）中长期贷款 Mid & Long-term Loans,（3）票据融资 Paper Financing,（4）融资租赁 Financial Leases,（5）各项垫款 Total Advances,3.非银行业金融机构贷款 Loans to Non-banking Financial Institutions,（二）境外贷款 Overseas Loans,二、债券投资 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2016-01-31,141993138000000.0,140186138999999.98,56139034000000.0,21151262000000.0,34987771999999.996,46255744000000.0,18174361000000.0,28081383000000.0,24944157000000.0,3960691000000.0005,20983466000000.0,12847203000000.0,1806999000000.0002,1792591999999.9998,84212000000.0,-6042472000000.0,137827470000000.0,101857269000000.0,99016705000000.0,27647717000000.0,9039247000000.0,4215283999999.9995,4823963000000.0,18608471000000.0,15278221000000.0,3330250000000.0,70551214000000.0,27415680000000.0,36613508000000.0,4955346000000.0,1339089000000.0,227592000000.0,817773000000.0,2840564000000.0,19763972000000.0,16052163000000.0,154065000000.0,137827470000000.0
2016-02-29,142890230000000.0,141155890000000.0,58153967000000.01,21840373000000.0,36313594000000.0,44818169000000.0,17071235999999.998,27746932000000.0,24523811000000.0,3791672000000.0,20732138000000.0,13659943000000.0,1734340000000.0002,1721482000000.0,229735000000.0,-5312913000000.0,139528533000000.0,102534528000000.0,99689466000000.0,27642156000000.0,8851727000000.0,4056262000000.0005,4795465000000.0,18790428000000.0,15464729999999.998,3325698000000.0005,71301202000000.0,27704368000000.0,37096732000000.0,4896622000000.0,1359780000000.0,243700000000.0,746108000000.0,2845062000000.0,19708033000000.0,16941054000000.0,344918000000.0,139528533000000.0
2016-03-31,145421185000000.0,143622825000000.0,58736618999999.99,22058520000000.0,36678099000000.0,47153851000000.0,18467788000000.0,28686063000000.0,25060192000000.0,3617717000000.0,21442475000000.0,12672163000000.0,1798359999999.9998,1809368000000.0,229831000000.0,-5221019000000.0,142239365000000.0,103787029000000.0,101017095000000.0,28284790999999.996,9057022000000.0,4209640000000.0,4847382000000.0,19227769000000.0,15874801000000.0,3352968000000.0,71939784000000.0,27803157000000.0,37558569000000.0,4947801000000.0,1396009000000.0,234248999999.99997,792520000000.0,2769934000000.0,20371372000000.0,17735888000000.0,345075000000.0,142239365000000.0
2016-04-30,146257429000000.0,144461373000000.0,57808675000000.0,21442221000000.0,36366454000000.0,47373848000000.0,18461711000000.0,28912136000000.0,26221843000000.0,4549565000000.0,21672278000000.0,13057008000000.0,1796056000000.0002,2126207000000.0,231034000000.0,-4244226000000.0,144370444000000.0,104271970000000.0,101495773000000.0,28706432000000.0,9050693000000.0,4242250000000.0,4808444000000.0,19655738000000.0,16288601999999.998,3367137000000.0005,72009913000000.0,27666378999999.996,37490032000000.0,5186422000000.0,1423546000000.0,243534000000.0,779429000000.0,2776197000000.0,21412063000000.0,18339463000000.0,346947000000.0,144370444000000.0
2016-05-31,148110064000000.0,146294905000000.0,57872004000000.0,21454302000000.0,36417702000000.0,47894982000000.0,18903063000000.0,28991918000000.0,26967019000000.0,4711506000000.0,22255513000000.0,13560901000000.0,1815159000000.0,2279405000000.0,234192000000.0,-4078239000000.0,146545422000000.0,105234476000000.0,102469088000000.0,29282848000000.0,9098967000000.0,4302465000000.0,4796502000000.0,20183881000000.0,16779726000000.0,3404156000000.0,72366587000000.0,27647096999999.996,37675615000000.0,5343144000000.0,1449801000000.0,250930000000.00003,819653000000.0001,2765388000000.0,21964697000000.0,18996355000000.0,349895000000.0,146545422000000.0
2016-06-30,150590881000000.0,148717984000000.0,58835400000000.0,22065675000000.0,36769725000000.0,49159300000000.0,20036378000000.0,29122921999999.996,27262786000000.0,4381956000000.0,22880830000000.0,13460498000000.002,1872897000000.0,2630761000000.0,234717000000.0,-4112483999999.9995,149343875000000.0,106692097000000.0,103837167000000.0,29986613000000.0,9236665000000.0,4417851000000.0,4818814000000.0,20749948000000.0,17289222000000.0,3460726999999.9995,72969972000000.0,27850403000000.004,38071630000000.0,5329062000000.0,1489069000000.0,229807000000.00003,880581000000.0,2854930000000.0,22822087000000.0,19478669000000.0,351022000000.0,149343875000000.0
2016-07-31,151039775000000.0,149234173000000.0,58627428000000.0,21950657000000.0,36676771000000.0,48773908000000.0,19778187000000.0,28995721000000.004,27916145000000.0,4870131000000.0,23046014000000.0,13916692000000.002,1805602000000.0,2654795000000.0,239155000000.00003,-2969456000000.0,150964269000000.0,107136594000000.0,104267057000000.0,30444453000000.004,9217261000000.0,4452769000000.0,4764493000000.0,21227191000000.0,17740091000000.0,3487100000000.0,72935262000000.0,27634536000000.0,38204871000000.0,5357305000000.0,1496705000000.0,241846000000.0,887341000000.0,2869538000000.0,23197804000000.0,20278972000000.0,350899000000.0,150964269000000.0
2016-08-31,152854493000000.0,151012143000000.0,59039661000000.0,22259220000000.0,36780441000000.0,50148676000000.0,20411804000000.0,29736871999999.996,28099828000000.004,4689196000000.0,23410632000000.0,13723978000000.0,1842350000000.0,2796888000000.0,239408000000.0,-2533919000000.0,153356870000000.0,108315910000000.02,105233958000000.0,31120975000000.0,9365149000000.0,4595315000000.0,4769834000000.0,21755825000000.0,18226994000000.0,3528831000000.0,73078151000000.0,27548490999999.996,38185019000000.0,5579997000000.0,1521344000000.0,243298000000.0,1034833000000.0,3081952000000.0,23837385000000.0,20852596000000.0,350979000000.0,153356870000000.0
2016-09-30,152963376000000.0,151118445000000.0,60003296000000.0,22924430000000.0,37078866000000.0,50636211000000.0,20260738000000.0,30375473000000.0,27831988000000.0,4290654000000.0,23541334000000.0,12646950000000.0,1844931000000.0002,2978830000000.0,240490000000.0,-955858000000.0,155226837000000.0,109485821000000.0,106375390999999.98,31762957000000.0,9435837000000.0,4658275000000.0,4777562000000.0,22327120000000.0,18741536000000.0,3585583999999.9995,73643198000000.0,27512523000000.0,38622090000000.0,5721519000000.0,1559486000000.0,227581000000.0,969235000000.0,3110430000000.0,24339986000000.0,21049489000000.0,351541000000.0,155226837000000.0
2016-10-31,154349653000000.0,152492951000000.0,59587704000000.0,22647393000000.0,36940311000000.0,50936693000000.0,21026125000000.0,29910568000000.0,28797051000000.0,4972719000000.0,23824332000000.0,13171501999999.998,1856702000000.0,3002948000000.0,241525000000.0,-898536000000.0,156695590000000.0,110178975000000.0,107011028000000.0,32196019000000.0,9379802000000.0,4655776000000.0,4724026000000.0,22816217000000.0,19205589000000.0,3610628000000.0,73812074000000.0,27452219000000.0,38703429000000.0,5831533000000.0,1591078000000.0,233816000000.0,1002935000000.0,3167947000000.0,24702165000000.0,21460468000000.0,353982000000.0,156695590000000.0
