,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,税收收入,出口退税
,国内增值税,国内消费税,海关代征进口环节增值税和消费税,营业税,企业所得税（内资）,企业所得税（外资）,个人所得税,城镇土地使用税,投资方向调节税,城市维护建设费,证券交易印花税,其他印花税,土地增值税,房产税,车船税,车辆购置税,出口退税
2009Q1,37056760000.0,7630380000.0,35009250000.0,20395810000.0,16995880000.0,10425820000.0,16796430000.0,243070000.0,0.0,1866610000.0,5361080000.0,768800000.0,1068380000.0,744810000.0,169550000.0,768560000.0,-18903930000.0
2009Q2,38212390000.0,7841770000.0,36870620000.0,19687550000.0,22153720000.0,15171200000.0,12820710000.0,577400000.0,0.0,1745850000.0,8709640000.0,735550000.0,1418870000.0,2904550000.0,189720000.0,860460000.0,-16770270000.0
2009Q3,38016050000.0,8865940000.0,42297160000.0,23635120000.0,18039700000.0,11073600000.0,14291330000.0,191580000.0,10000.0,2063130000.0,11204410000.0,1441460000.0,2328580000.0,828350000.0,179970000.0,1026940000.0,-16988040000.0
2009Q4,37463330000.0,9973100000.0,41333200000.0,20253340000.0,18187150000.0,11064050000.0,12263460000.0,1353020000.0,0.0,1944030000.0,7993550000.0,696220000.0,1306880000.0,1811790000.0,170170000.0,1019430000.0,-15298760000.0
