,合计,地方本级收入,中央对地方转移支付
2022,,10881800000000.0,
2021,19409371000000,11107700000000.0,8301671000000.001
2020,18336100000000.0,10014300000000.0,8321800000000.0
2019,17544000000000.0,10108100000000.0,7436000000000.0
2018,16758400000000.0,9790300000000.0,6968100000000.0
2017,15652100000000.0,9146900000000.0,6505200000000.0
2016,14664000000000.0,8723900000000.0,5940100000000.0
2015,13810000000000.0,8300200000000.0,5509800000000.0
